x-axis-Sec	ch1	ch2	ch2
-0.0000167	-0.12	5	4.943
-0.000016675	-0.12	4.968	4.943
-0.00001665	0.005	5.015	4.943
-0.000016625	-0.0575	4.984	4.943
-0.0000166	0.005	4.968	4.943
-0.000016575	-0.12	4.968	4.943
-0.00001655	0.005	4.984	4.943
-0.000016525	-0.12	5	4.88
-0.0000165	-0.12	4.984	4.943
-0.000016475	-0.12	4.968	4.943
-0.00001645	-0.0575	5.015	5.005
-0.000016425	-0.12	4.984	4.88
-0.0000164	0.005	4.968	4.943
-0.000016375	0.005	5	4.88
-0.00001635	-0.0575	5	4.943
-0.000016325	-0.0575	5	4.943
-0.0000163	-0.0575	4.968	4.943
-0.000016275	-0.12	4.968	4.943
-0.00001625	-0.0575	5	4.88
-0.000016225	-0.0575	4.984	4.943
-0.0000162	-0.0575	4.984	4.943
-0.000016175	0.005	4.984	4.943
-0.00001615	-0.12	4.968	5.005
-0.000016125	-0.0575	4.984	4.943
-0.0000161	-0.0575	5	4.943
-0.000016075	0.005	4.984	4.943
-0.00001605	-0.12	4.984	4.943
-0.000016025	-0.0575	5.015	4.943
-0.000016	-0.12	4.984	4.943
-0.000015975	-0.12	4.968	4.88
-0.00001595	-0.12	4.968	4.943
-0.000015925	-0.0575	4.968	4.88
-0.0000159	-0.12	4.984	4.943
-0.000015875	-0.0575	5	4.943
-0.00001585	-0.12	4.984	4.943
-0.000015825	-0.12	4.968	5.005
-0.0000158	0.005	4.968	5.005
-0.000015775	-0.12	4.984	4.943
-0.00001575	-0.12	5	4.943
-0.000015725	0.005	4.968	4.943
-0.0000157	-0.12	4.984	4.88
-0.000015675	0.005	4.968	5.005
-0.00001565	-0.12	4.968	4.88
-0.000015625	-0.0575	5	4.88
-0.0000156	-0.12	5	4.943
-0.000015575	-0.12	4.984	4.88
-0.00001555	-0.0575	5	4.943
-0.000015525	-0.12	4.968	4.88
-0.0000155	-0.0575	4.984	4.88
-0.000015475	-0.0575	4.968	4.88
-0.00001545	-0.0575	5	4.943
-0.000015425	-0.0575	4.968	4.88
-0.0000154	-0.0575	4.984	4.88
-0.000015375	-0.12	4.968	5.005
-0.00001535	-0.12	4.984	4.88
-0.000015325	0.005	5	4.88
-0.0000153	0.005	4.968	4.943
-0.000015275	-0.12	4.984	4.943
-0.00001525	0.005	5	4.943
-0.000015225	-0.12	4.984	4.88
-0.0000152	-0.0575	4.968	4.88
-0.000015175	0.005	4.968	4.943
-0.00001515	-0.0575	5.015	4.943
-0.000015125	0.005	4.984	4.943
-0.0000151	-0.12	5	4.943
-0.000015075	0.005	5	4.943
-0.00001505	0.005	5	4.943
-0.000015025	-0.12	4.984	4.88
-0.000015	-0.0575	5	4.943
-0.000014975	-0.12	4.984	5.005
-0.00001495	-0.12	5	5.005
-0.000014925	-0.12	5	4.943
-0.0000149	-0.12	4.984	4.943
-0.000014875	-0.12	5.015	4.943
-0.00001485	-0.12	4.984	4.943
-0.000014825	0.005	4.968	4.943
-0.0000148	-0.0575	5	4.88
-0.000014775	0.005	5	4.88
-0.00001475	0.005	5	5.005
-0.000014725	0.005	4.968	4.943
-0.0000147	-0.0575	4.984	4.943
-0.000014675	-0.0575	4.984	4.943
-0.00001465	-0.12	4.968	5.005
-0.000014625	-0.12	4.968	4.943
-0.0000146	0.005	4.968	4.943
-0.000014575	-0.12	4.968	4.88
-0.00001455	-0.0575	5	4.88
-0.000014525	0.005	5	4.943
-0.0000145	0.005	5	4.88
-0.000014475	-0.0575	4.968	4.88
-0.00001445	0.005	5	4.943
-0.000014425	-0.12	4.984	4.943
-0.0000144	-0.12	5	4.943
-0.000014375	-0.12	4.968	5.005
-0.00001435	0.005	4.984	4.943
-0.000014325	-0.12	5	4.943
-0.0000143	0.005	5	4.943
-0.000014275	-0.0575	4.984	4.943
-0.00001425	0.005	5.015	4.943
-0.000014225	0.005	4.984	5.005
-0.0000142	0.005	4.968	4.943
-0.000014175	-0.0575	5	4.943
-0.00001415	0.005	5	4.943
-0.000014125	-0.12	4.968	4.943
-0.0000141	-0.12	4.968	4.943
-0.000014075	-0.12	5	4.943
-0.00001405	0.005	4.968	4.943
-0.000014025	0.005	4.984	4.943
-0.000014	0.005	5	4.943
-0.000013975	0.005	5	4.943
-0.00001395	-0.12	5	4.943
-0.000013925	-0.0575	4.968	4.943
-0.0000139	0.005	4.968	4.943
-0.000013875	-0.0575	4.968	4.943
-0.00001385	0.005	4.984	4.88
-0.000013825	-0.12	4.984	4.943
-0.0000138	0.005	4.968	4.943
-0.000013775	-0.12	5	4.88
-0.00001375	0.005	4.968	4.88
-0.000013725	-0.12	4.968	4.943
-0.0000137	-0.0575	5	4.88
-0.000013675	-0.12	4.968	4.943
-0.00001365	0.005	4.984	4.943
-0.000013625	-0.0575	5	4.943
-0.0000136	-0.12	5	4.943
-0.000013575	0.005	4.984	4.88
-0.00001355	-0.12	5	4.943
-0.000013525	0.005	4.984	4.88
-0.0000135	0.005	5	4.943
-0.000013475	-0.12	4.968	4.88
-0.00001345	-0.12	4.968	4.943
-0.000013425	-0.12	5	4.943
-0.0000134	0.005	4.968	4.943
-0.000013375	0.005	4.968	4.943
-0.00001335	0.005	4.984	4.88
-0.000013325	0.005	4.968	4.943
-0.0000133	0.005	4.968	4.943
-0.000013275	-0.12	5	4.943
-0.00001325	0.005	5	4.943
-0.000013225	-0.0575	4.984	5.005
-0.0000132	-0.0575	4.984	4.943
-0.000013175	0.005	5	4.943
-0.00001315	-0.0575	4.984	4.943
-0.000013125	0.005	5	4.943
-0.0000131	0.005	5	4.943
-0.000013075	-0.12	4.984	4.943
-0.00001305	-0.12	5	4.88
-0.000013025	-0.0575	4.968	4.943
-0.000013	0.005	4.984	4.943
-0.000012975	-0.0575	4.968	4.943
-0.00001295	-0.12	5	4.943
-0.000012925	-0.12	4.968	4.943
-0.0000129	0.005	4.984	5.005
-0.000012875	0.005	5	5.005
-0.00001285	-0.12	4.984	4.943
-0.000012825	0.005	5	4.88
-0.0000128	-0.12	4.968	4.943
-0.000012775	-0.12	5.015	4.88
-0.00001275	0.005	4.968	4.943
-0.000012725	0.005	4.984	4.943
-0.0000127	-0.0575	5	4.88
-0.000012675	0.005	4.968	4.88
-0.00001265	-0.0575	4.984	4.943
-0.000012625	0.005	5.015	5.005
-0.0000126	0.005	4.968	4.943
-0.000012575	0.005	4.968	4.943
-0.00001255	-0.0575	5	4.943
-0.000012525	-0.0575	5	4.88
-0.0000125	0.005	4.968	4.943
-0.000012475	0.005	4.984	4.943
-0.00001245	-0.0575	5	5.005
-0.000012425	0.005	4.984	4.88
-0.0000124	-0.0575	4.984	5.005
-0.000012375	-0.12	5	4.88
-0.00001235	0.005	4.984	4.943
-0.000012325	0.005	4.984	5.005
-0.0000123	-0.0575	4.984	4.943
-0.000012275	-0.0575	5	4.943
-0.00001225	-0.0575	5	4.88
-0.000012225	0.005	5.015	4.943
-0.0000122	-0.0575	5	4.943
-0.000012175	0.005	5	4.943
-0.00001215	0.005	5	5.005
-0.000012125	0.005	4.984	4.88
-0.0000121	0.005	5.015	4.943
-0.000012075	0.005	5	4.943
-0.00001205	-0.0575	5	4.943
-0.000012025	-0.0575	5	4.943
-0.000012	0.0675	4.968	4.88
-0.000011975	-0.12	4.984	4.88
-0.00001195	0.005	4.968	4.943
-0.000011925	-0.0575	4.984	4.943
-0.0000119	-0.12	5	4.943
-0.000011875	-0.12	5	4.943
-0.00001185	-0.0575	4.984	4.943
-0.000011825	0.005	4.968	4.943
-0.0000118	-0.0575	5	4.943
-0.000011775	-0.0575	5.015	4.943
-0.00001175	-0.0575	4.984	4.943
-0.000011725	0.005	4.984	5.005
-0.0000117	-0.12	4.968	4.943
-0.000011675	0.005	5	4.943
-0.00001165	-0.0575	4.968	4.943
-0.000011625	-0.0575	4.968	4.88
-0.0000116	0.005	4.968	4.88
-0.000011575	0.005	4.984	4.943
-0.00001155	0.005	5	5.005
-0.000011525	0.005	5	4.943
-0.0000115	0.005	5	4.943
-0.000011475	0.005	4.984	4.943
-0.00001145	-0.0575	4.968	4.943
-0.000011425	-0.0575	4.984	4.88
-0.0000114	0.005	5	4.943
-0.000011375	0.005	5	5.005
-0.00001135	-0.0575	4.968	4.943
-0.000011325	0.005	4.984	4.943
-0.0000113	-0.0575	4.984	4.943
-0.000011275	0.005	5	4.943
-0.00001125	0.005	4.968	4.88
-0.000011225	-0.0575	5	4.943
-0.0000112	-0.0575	4.968	4.943
